time,lasttime,lat,lng,speed,course,altitude,comment,alt_sp
2022-08-22 14:06:28,2022-08-22 14:06:28,34.64267,-106.83283,4,257,1589.84, StrTrk 55 9 1.62V 23C 84656Pa ,20000
2022-08-22 14:07:27,2022-08-22 14:07:27,34.642,-106.83367,9,228,1628.85, StrTrk 56 9 1.62V 24C 84141Pa ,20000
2022-08-22 14:08:27,2022-08-22 14:08:27,34.6405,-106.8345,7,221,1710.84, StrTrk 57 9 1.62V 24C 83513Pa ,20000
2022-08-22 14:09:28,2022-08-22 14:09:28,34.63983,-106.83533,4,231,1778.81, StrTrk 58 9 1.61V 25C 82859Pa ,20000
2022-08-22 14:11:27,2022-08-22 14:11:27,34.6385,-106.83467,2,55,1965.96, StrTrk 60 9 1.61V 23C 81037Pa ,20000
2022-08-22 14:13:28,2022-08-22 14:13:28,34.63917,-106.83517,4,325,2111.04, StrTrk 62 9 1.61V 24C 79680Pa ,20000
2022-08-22 14:14:27,2022-08-22 14:14:27,34.63967,-106.83567,4,306,2194.86, StrTrk 63 9 1.61V 23C 78883Pa ,20000
2022-08-22 14:15:27,2022-08-22 14:15:27,34.64033,-106.83667,7,308,2293.01, StrTrk 64 9 1.61V 23C 77970Pa ,20000
2022-08-22 14:16:28,2022-08-22 14:16:28,34.64017,-106.8375,6,229,2383.84, StrTrk 65 9 1.61V 22C 77122Pa ,20000
2022-08-22 14:17:28,2022-08-22 14:17:28,34.63967,-106.838,6,175,2474.06, StrTrk 66 9 1.61V 21C 76317Pa ,20000
2022-08-22 14:18:28,2022-08-22 14:18:28,34.63883,-106.837,7,88,2570.07, StrTrk 67 9 1.61V 22C 75437Pa ,20000
2022-08-22 14:19:28,2022-08-22 14:19:28,34.6385,-106.83583,7,125,2656.94, StrTrk 68 9 1.61V 20C 74689Pa ,20000
2022-08-22 14:20:27,2022-08-22 14:20:27,34.638,-106.83517,2,109,2737.1, StrTrk 69 9 1.61V 20C 73962Pa ,20000
2022-08-22 14:21:27,2022-08-22 14:21:27,34.63783,-106.835,4,189,2821.84, StrTrk 70 9 1.61V 20C 73225Pa ,20000
2022-08-22 14:23:28,2022-08-22 14:23:28,34.63633,-106.83533,6,150,3012.03, StrTrk 72 9 1.61V 19C 71585Pa ,20000
2022-08-22 14:24:28,2022-08-22 14:24:28,34.636,-106.835,6,120,3108.96, StrTrk 73 9 1.60V 19C 70767Pa ,20000
2022-08-22 14:25:28,2022-08-22 14:25:28,34.63533,-106.8325,19,107,3198.88, StrTrk 74 9 1.61V 19C 69980Pa ,20000
2022-08-22 14:26:28,2022-08-22 14:26:28,34.63417,-106.82983,13,121,3296.11, StrTrk 75 9 1.60V 18C 69190Pa ,20000
2022-08-22 14:27:28,2022-08-22 14:27:28,34.63233,-106.828,7,149,3382.98, StrTrk 76 9 1.61V 18C 68489Pa ,20000
2022-08-22 14:29:28,2022-08-22 14:29:28,34.62817,-106.82633,13,175,3539.03, StrTrk 78 9 1.60V 18C 67203Pa ,20000
2022-08-22 14:30:28,2022-08-22 14:30:28,34.62633,-106.8265,13,195,3620.11, StrTrk 79 9 1.60V 17C 66545Pa ,20000
2022-08-22 14:31:28,2022-08-22 14:31:28,34.624,-106.82717,19,183,3706.98, StrTrk 80 9 1.59V 17C 65837Pa ,20000
2022-08-22 14:32:28,2022-08-22 14:32:28,34.62167,-106.8275,17,190,3806.04, StrTrk 81 9 1.60V 16C 65057Pa ,20000
2022-08-22 14:33:27,2022-08-22 14:33:27,34.61917,-106.82783,11,184,3906.93, StrTrk 82 9 1.60V 16C 64256Pa ,20000
2022-08-22 14:34:27,2022-08-22 14:34:27,34.6165,-106.828,19,173,4025.19, StrTrk 83 9 1.60V 15C 63353Pa ,20000
2022-08-22 14:35:27,2022-08-22 14:35:27,34.6135,-106.828,20,178,4137.05, StrTrk 84 9 1.60V 15C 62504Pa ,20000
2022-08-22 14:36:27,2022-08-22 14:36:27,34.611,-106.82767,20,162,4248, StrTrk 85 9 1.58V 15C 61624Pa ,20000
2022-08-22 14:37:27,2022-08-22 14:37:27,34.60817,-106.827,15,167,4344.01, StrTrk 86 9 1.58V 13C 60883Pa ,20000
2022-08-22 14:39:27,2022-08-22 14:39:27,34.6035,-106.827,19,182,4518.05, StrTrk 88 9 1.59V 12C 59602Pa ,20000
2022-08-22 14:40:27,2022-08-22 14:40:27,34.60167,-106.827,11,184,4596.99, StrTrk 89 9 1.58V 12C 59021Pa ,20000
2022-08-22 14:41:27,2022-08-22 14:41:27,34.60033,-106.82667,7,180,4687.21, StrTrk 90 9 1.57V 12C 58347Pa ,20000
