time,lasttime,lat,lng,speed,course,altitude,comment,,ascent_velocity(MPH),temp_pres_process,pres_process,temp,pres,vent_sp
2021-05-12 14:01:32,2021-05-12 14:01:32,32.4225,-111.06033,2,32,796.75, StrTrk 23 9 1.66V 25C 92583Pa ,,,25C 92583Pa ,92583Pa ,298,92583,0
2021-05-12 14:02:31,2021-05-12 14:02:31,32.4225,-111.0605,0,40,797.97, StrTrk 24 9 1.66V 26C 92591Pa ,,0.01406101681,26C 92591Pa ,92591Pa ,299,92591,0
2021-05-12 14:03:30,2021-05-12 14:03:30,32.4225,-111.06033,0,57,801.01, StrTrk 25 9 1.66V 27C 92559Pa ,,0.03503728816,27C 92559Pa ,92559Pa ,300,92559,0
2021-05-12 14:04:32,2021-05-12 14:05:31,32.4225,-111.0605,4,116,801.93, StrTrk 27 9 1.67V 28C 92554Pa ,,0.01009032258,28C 92554Pa ,92554Pa ,301,92554,0
2021-05-12 14:06:30,2021-05-12 14:07:32,32.4225,-111.06033,0,355,801.01, StrTrk 29 9 1.67V 30C 92557Pa ,,-0.005301694919,30C 92557Pa ,92557Pa ,303,92557,0
2021-05-12 14:09:31,2021-05-12 14:13:30,32.4225,-111.0605,7,312,798.88, StrTrk 35 9 1.69V 33C 92391Pa ,,-0.008002209964,33C 92391Pa ,92391Pa ,306,92391,0
2021-05-12 14:14:30,2021-05-12 14:14:30,32.42317,-111.06183,15,293,873.86, StrTrk 36 9 1.70V 33C 91701Pa ,,0.1705230769,33C 91701Pa ,91701Pa ,306,91701,0
2021-05-12 14:15:35,2021-05-12 14:15:35,32.42433,-111.06433,15,290,945.79, StrTrk 37 9 1.70V 34C 91098Pa ,,0.7524984603,34C 91098Pa ,91098Pa ,307,91098,0
2021-05-12 14:16:30,2021-05-12 14:16:30,32.42533,-111.0675,20,294,1004.93, StrTrk 38 9 1.71V 34C 90540Pa ,,0.7311854508,34C 90540Pa ,90540Pa ,307,90540,0
2021-05-12 14:17:30,2021-05-12 14:17:30,32.42667,-111.07067,17,292,1048.82, StrTrk 39 9 1.71V 35C 90067Pa ,,0.4974200036,35C 90067Pa ,90067Pa ,308,90067,0
2021-05-12 14:18:30,2021-05-12 14:18:30,32.42767,-111.07333,11,286,1107.03, StrTrk 40 9 1.71V 36C 89424Pa ,,0.6597133312,36C 89424Pa ,89424Pa ,309,89424,0
2021-05-12 14:19:30,2021-05-12 14:19:30,32.42783,-111.07483,2,267,1164.95, StrTrk 41 9 1.71V 37C 88809Pa ,,0.6564266645,37C 88809Pa ,88809Pa ,310,88809,0
2021-05-12 14:20:35,2021-05-12 14:20:35,32.4275,-111.07583,6,228,1232.92, StrTrk 42 9 1.71V 37C 88118Pa ,,0.7110707749,37C 88118Pa ,88118Pa ,310,88118,0
2021-05-12 14:21:33,2021-05-12 14:21:33,32.42683,-111.077,7,230,1303.02, StrTrk 43 9 1.73V 37C 87404Pa ,,0.8218620639,37C 87404Pa ,87404Pa ,310,87404,0
2021-05-12 14:22:30,2021-05-12 14:22:30,32.42633,-111.078,7,233,1372.82, StrTrk 44 9 1.73V 37C 86722Pa ,,0.8327017526,37C 86722Pa ,86722Pa ,310,86722,0
2021-05-12 14:23:30,2021-05-12 14:23:30,32.42583,-111.0795,7,253,1445.97, StrTrk 45 9 1.74V 38C 85993Pa ,,0.8290333393,38C 85993Pa ,85993Pa ,311,85993,0
2021-05-12 14:24:35,2021-05-12 14:24:35,32.42533,-111.081,9,250,1520.04, StrTrk 46 9 1.74V 38C 85249Pa ,,0.7748861526,38C 85249Pa ,85249Pa ,311,85249,0
2021-05-12 14:25:33,2021-05-12 14:25:33,32.42483,-111.08267,9,252,1605.08, StrTrk 47 9 1.75V 38C 84418Pa ,,0.9970206835,38C 84418Pa ,84418Pa ,311,84418,0
