time,lasttime,lat,lng,speed,course,altitude,comment
2021-11-06 04:37:45,2021-11-06 04:38:21,32.23650,-110.95217,6,0,780.59,"004TxC 28.70C 931.09hPa 7.84V 05S SpaceTREx SHAB-7V"
2021-11-06 04:38:39,2021-11-06 04:38:39,32.23650,-110.95233,2,0,782.42,"005TxC 29.00C 931.05hPa 7.84V 06S SpaceTREx SHAB-7V"
2021-11-06 04:38:57,2021-11-06 04:39:15,32.23650,-110.95217,0,0,777.24,"007TxC 29.50C 931.21hPa 7.84V 06S SpaceTREx SHAB-7V"
2021-11-06 04:39:33,2021-11-06 04:39:33,32.23683,-110.95200,2,0,766.88,"008TxC 29.70C 931.18hPa 7.84V 06S SpaceTREx SHAB-7V"
2021-11-07 15:09:51,2021-11-07 15:12:15,32.26083,-109.84367,0,78,1277.72,"047TxC 29.20C 874.36hPa 7.38V 06S SpaceTREx SHAB-7V"
2021-11-07 15:12:34,2021-11-07 15:12:34,32.26100,-109.84367,4,78,1297.23,"056TxC 34.50C 868.59hPa 7.38V 07S SpaceTREx SHAB-7V"
2021-11-07 15:12:52,2021-11-07 15:12:52,32.26100,-109.84350,4,27,1327.10,"057TxC 34.70C 870.74hPa 7.38V 06S SpaceTREx SHAB-7V"
2021-11-07 15:13:10,2021-11-07 15:13:10,32.26117,-109.84350,4,8,1366.72,"058TxC 33.10C 868.84hPa 7.38V 06S SpaceTREx SHAB-7V"
2021-11-07 15:13:29,2021-11-07 15:13:29,32.26150,-109.84333,6,4,1369.16,"059TxC 31.70C 867.06hPa 7.39V 07S SpaceTREx SHAB-7V"
2021-11-07 15:13:48,2021-11-07 15:13:48,32.26167,-109.84350,0,4,1372.21,"060TxC 28.60C 858.98hPa 7.38V 06S SpaceTREx SHAB-7V"
2021-11-07 15:14:04,2021-11-07 15:14:04,32.26183,-109.84350,2,4,1394.76,"061TxC 31.80C 864.62hPa 7.39V 09S SpaceTREx SHAB-7V"
2021-11-07 15:14:22,2021-11-07 15:14:22,32.26217,-109.84350,11,336,1371.90,"062TxC 31.60C 863.20hPa 7.39V 06S SpaceTREx SHAB-7V"
2021-11-07 15:14:40,2021-11-07 15:14:40,32.26267,-109.84383,11,336,1427.38,"063TxC 32.60C 862.22hPa 7.39V 07S SpaceTREx SHAB-7V"
2021-11-07 15:14:58,2021-11-07 15:14:58,32.26300,-109.84417,11,330,1436.22,"064TxC 30.00C 854.38hPa 7.39V 08S SpaceTREx SHAB-7V"
2021-11-07 15:15:17,2021-11-07 15:17:44,32.26350,-109.84450,13,326,1455.12,"065TxC 29.90C 856.35hPa 7.39V 08S SpaceTREx SHAB-7V"
2021-11-07 15:17:58,2021-11-07 15:17:58,32.26750,-109.84783,15,319,1620.01,"074TxC 28.60C 843.70hPa 7.41V 08S SpaceTREx SHAB-7V"
2021-11-07 15:18:16,2021-11-07 15:18:16,32.26800,-109.84833,13,319,1645.31,"075TxC 28.10C 841.72hPa 7.41V 06S SpaceTREx SHAB-7V"
2021-11-07 15:18:34,2021-11-07 15:18:34,32.26867,-109.84883,17,319,1646.83,"076TxC 28.40C 839.79hPa 7.41V 08S SpaceTREx SHAB-7V"
2021-11-07 15:18:52,2021-11-07 15:18:52,32.26917,-109.84950,17,320,1686.76,"077TxC 27.90C 837.95hPa 7.41V 07S SpaceTREx SHAB-7V"
2021-11-07 15:19:10,2021-11-07 15:19:10,32.26983,-109.85017,19,314,1693.16,"078TxC 27.30C 835.96hPa 7.41V 08S SpaceTREx SHAB-7V"
2021-11-07 15:19:28,2021-11-07 15:19:28,32.27033,-109.85083,17,313,1700.17,"079TxC 27.00C 833.68hPa 7.41V 08S SpaceTREx SHAB-7V"
2021-11-07 15:19:46,2021-11-07 15:19:46,32.27100,-109.85167,20,307,1734.62,"080TxC 26.70C 831.48hPa 7.41V 08S SpaceTREx SHAB-7V"
2021-11-07 15:20:04,2021-11-07 15:20:04,32.27150,-109.85250,15,310,1747.72,"081TxC 23.80C 820.83hPa 7.41V 09S SpaceTREx SHAB-7V"
2021-11-07 15:20:40,2021-11-07 15:20:40,32.27233,-109.85350,11,315,1805.94,"083TxC 28.40C 817.51hPa 7.41V 06S SpaceTREx SHAB-7V"
2021-11-07 15:20:58,2021-11-07 15:20:58,32.27250,-109.85400,9,297,1836.72,"084TxC 33.80C 822.41hPa 7.41V 08S SpaceTREx SHAB-7V"
2021-11-07 15:21:16,2021-11-07 15:21:16,32.27283,-109.85450,15,297,1878.18,"085TxC 31.60C 819.43hPa 7.42V 08S SpaceTREx SHAB-7V"
2021-11-07 15:22:10,2021-11-07 15:22:10,32.27333,-109.85617,7,300,1936.09,"088TxC 29.50C 807.97hPa 7.42V 07S SpaceTREx SHAB-7V"
2021-11-07 15:22:29,2021-11-07 15:22:29,32.27367,-109.85650,7,319,1963.22,"089TxC 30.00C 810.27hPa 7.42V 07S SpaceTREx SHAB-7V"
2021-11-07 15:22:46,2021-11-07 15:22:46,32.27383,-109.85683,6,302,1972.97,"090TxC 24.70C 798.06hPa 7.44V 08S SpaceTREx SHAB-7V"
2021-11-07 15:23:22,2021-11-07 15:23:22,32.27417,-109.85733,6,338,2027.53,"092TxC 30.40C 803.43hPa 7.44V 08S SpaceTREx SHAB-7V"
2021-11-07 15:23:40,2021-11-07 15:23:40,32.27450,-109.85750,6,335,2047.95,"093TxC 29.90C 800.82hPa 7.44V 08S SpaceTREx SHAB-7V"
2021-11-07 15:23:58,2021-11-07 15:23:58,32.27467,-109.85750,6,343,2090.62,"094TxC 28.10C 792.52hPa 7.44V 08S SpaceTREx SHAB-7V"
2021-11-07 15:24:16,2021-11-07 15:24:16,32.27500,-109.85767,6,341,2120.80,"095TxC 29.20C 793.59hPa 7.44V 07S SpaceTREx SHAB-7V"
