time,lasttime,lat,lng,speed,course,altitude,comment
2022-08-22 14:37:53,2022-08-22 14:37:53,34.64267,-106.83283,4,262,1556.92," StrTrk 88 9 1.63V 26C 84259Pa "
2022-08-22 14:38:53,2022-08-22 14:38:53,34.64317,-106.83383,4,279,1719.99," StrTrk 89 9 1.62V 27C 83564Pa "
2022-08-22 14:39:53,2022-08-22 14:39:53,34.64200,-106.83367,0,242,1787.04," StrTrk 90 9 1.62V 26C 82696Pa "
2022-08-22 14:40:54,2022-08-22 14:40:54,34.64150,-106.83367,4,125,1876.96," StrTrk 91 9 1.62V 26C 81770Pa "
2022-08-22 14:41:53,2022-08-22 14:41:53,34.64150,-106.83283,6,134,1962.91," StrTrk 92 9 1.62V 25C 80974Pa "
2022-08-22 14:42:54,2022-08-22 14:42:54,34.64150,-106.83200,4,80,2065.93," StrTrk 93 9 1.62V 25C 80014Pa "
2022-08-22 14:43:54,2022-08-22 14:43:54,34.64167,-106.83217,2,271,2150.97," StrTrk 94 9 1.61V 24C 79186Pa "
2022-08-22 14:45:54,2022-08-22 14:45:54,34.64183,-106.83283,2,288,2343.91," StrTrk 96 9 1.62V 23C 77353Pa "
2022-08-22 14:46:53,2022-08-22 14:46:53,34.64150,-106.83333,2,205,2442.06," StrTrk 97 9 1.60V 24C 76472Pa "
2022-08-22 14:47:53,2022-08-22 14:47:53,34.64133,-106.83250,6,64,2531.06," StrTrk 98 9 1.62V 23C 75666Pa "
2022-08-22 14:49:54,2022-08-22 14:49:54,34.64167,-106.83067,2,147,2726.13," StrTrk 100 9 1.61V 22C 73959Pa "
2022-08-22 14:50:53,2022-08-22 14:50:53,34.64150,-106.83033,4,203,2810.87," StrTrk 101 9 1.61V 22C 73196Pa "
2022-08-22 14:51:54,2022-08-22 14:51:54,34.64167,-106.83050,6,174,2891.94," StrTrk 102 9 1.61V 20C 72516Pa "
2022-08-22 14:52:53,2022-08-22 14:52:53,34.64133,-106.82967,2,135,2973.02," StrTrk 103 9 1.60V 20C 71822Pa "
2022-08-22 14:53:53,2022-08-22 14:53:53,34.64100,-106.82800,15,97,3055.01," StrTrk 104 9 1.60V 19C 71096Pa "
2022-08-22 14:54:53,2022-08-22 14:54:53,34.64067,-106.82500,15,114,3151.94," StrTrk 105 9 1.60V 18C 70272Pa "
2022-08-22 14:55:53,2022-08-22 14:55:53,34.63967,-106.82250,17,129,3246.12," StrTrk 106 9 1.60V 18C 69504Pa "
2022-08-22 14:56:53,2022-08-22 14:56:53,34.63750,-106.82017,20,145,3307.08," StrTrk 107 9 1.60V 18C 68974Pa "
2022-08-22 14:57:53,2022-08-22 14:57:53,34.63533,-106.81883,15,152,3379.93," StrTrk 108 9 1.60V 19C 68405Pa "
